(1.0,0.6538775733977045)
(1.0,0.6921677798028073)
(1.0,0.6886663210689059)
(0.0,0.6711633456208302)
(1.0,0.6926639254775169)
(0.0,0.6917572723548073)
(1.0,0.7021139921790465)
(1.0,0.7331467432690534)
(1.0,0.7421957261942167)
(1.0,0.7498205844508654)
(1.0,0.7320769198546313)
(1.0,0.679053378716769)
(0.0,0.6885821352812883)
(0.0,0.699011937013918)
(0.0,0.7018454893934509)
(0.0,0.7005492546411263)
(1.0,0.6956018038864964)
(1.0,0.6849693282972305)
(1.0,0.6650647138572476)
(1.0,0.6395074139631899)
(1.0,0.6115565410892934)
(1.0,0.6743471710789446)
(1.0,0.6842675164017167)
(1.0,0.7050691399004649)
(1.0,0.7110555152109054)
(1.0,0.7080643789600625)
(1.0,0.7154072594370842)
(1.0,0.6731802937829994)
(1.0,0.6402595573318891)
(1.0,0.6178681988608375)
(1.0,0.6100148029606753)
(1.0,0.6611002825540869)
(1.0,0.7105387979483615)
(1.0,0.720369970629296)
(1.0,0.7036902618973275)
(1.0,0.7038212512078923)
(1.0,0.6929359700053368)
(1.0,0.6585487767370382)
(1.0,0.6309633179438128)
(1.0,0.6730588182131474)
(1.0,0.6940856933745614)
(1.0,0.7250746936630892)
(0.0,0.7234029056011857)
(1.0,0.7266027072425205)
(1.0,0.7172450368308674)
(0.0,0.7593283966015791)
(1.0,0.7774710612096631)
(1.0,0.7884406622648059)
(1.0,0.787518352748624)
(0.0,0.6941165945379486)
(1.0,0.7052789546518266)
(0.0,0.7075233220709518)
(1.0,0.7012055676798363)
(1.0,0.7038445098502033)
(1.0,0.7064689545520897)
(1.0,0.6500531522484655)
(1.0,0.6180321712010124)
(1.0,0.6331250032697191)
(1.0,0.6624190759590013)
(0.0,0.677558134172874)
(1.0,0.6958513473661835)
(1.0,0.710216961125494)
(1.0,0.6894629076137655)
(1.0,0.7068461401164369)
(1.0,0.7023836671563877)
(1.0,0.7027719306962046)
(1.0,0.7263433763722387)
(1.0,0.7469443238817985)
(1.0,0.7545459887913628)
(1.0,0.7617067975283891)
(1.0,0.7726176390055735)
(1.0,0.7821813169843779)
