(0.0,0.6929370557410592)
(0.0,0.6877543738005417)
(1.0,0.6927368085092758)
(1.0,0.6923256823776475)
(1.0,0.6902124789217964)
(1.0,0.6852215346583443)
(0.0,0.6739448421593109)
(0.0,0.6847686648367206)
(1.0,0.6960332846645113)
(1.0,0.6923794418934288)
(1.0,0.6900333497791828)
(0.0,0.6878065716567089)
(0.0,0.6871691829073971)
(0.0,0.6888000806141381)
(1.0,0.6849052630080239)
(1.0,0.6838172040956187)
(1.0,0.6849124183211646)
(1.0,0.6783767147928976)
(1.0,0.6403838285219613)
(1.0,0.5449358134163588)
(1.0,0.5164735945577269)
(1.0,0.5593245557994234)
(0.0,0.622687311432651)
(1.0,0.6766309290563166)
(1.0,0.697424463088167)
(1.0,0.7028018312501351)
(1.0,0.6815972399885843)
(0.0,0.6930705013564128)
(1.0,0.6919595605340425)
(1.0,0.5406521613869536)
(1.0,0.6117390980792351)
(1.0,0.6384810730460864)
(1.0,0.6976641685603381)
(1.0,0.7034738335239203)
(1.0,0.6953927234974295)
(1.0,0.6934032351126365)
(1.0,0.6815064364023196)
(1.0,0.5905451412382217)
(1.0,0.5601374313109435)
(1.0,0.5738741221672425)
(1.0,0.6026008915453982)
(1.0,0.6836005454676037)
(1.0,0.6977342179258358)
(0.0,0.7009774862502149)
(1.0,0.6957760913165522)
(1.0,0.6675232177026312)
(1.0,0.7023601357896093)
(1.0,0.7076672892003971)
(1.0,0.7108562717427263)
(1.0,0.6997608443090733)
(0.0,0.6974142026846271)
(0.0,0.6951851977687922)
(0.0,0.7064874668593788)
(1.0,0.6971415801003421)
(1.0,0.6971868252288423)
(1.0,0.6946905911508493)
(1.0,0.6278937991589405)
(1.0,0.5919335336134555)
(1.0,0.5528327997802951)
(1.0,0.595308458728811)
(0.0,0.639873516892352)
(1.0,0.6777357929874787)
(1.0,0.6862156801964493)
(1.0,0.6903944186741364)
(1.0,0.7004344358960348)
(1.0,0.6803109965186781)
(1.0,0.683881431510483)
(1.0,0.6872175855563671)
(1.0,0.6938692343096446)
(1.0,0.698587565369338)
(1.0,0.699459063259923)
(1.0,0.6976395835151412)
(1.0,0.7028036584839845)
(1.0,0.6949750842669045)
(1.0,0.7336209356186119)
(1.0,0.7346146441255181)
(0.0,0.7494063262572769)
(0.0,0.7532964551094719)
(1.0,0.7424355307803606)
(1.0,0.7322478281465499)
(1.0,0.697151985571052)
(1.0,0.6522970193076079)
(1.0,0.5829613806753772)
(1.0,0.6257293972928315)
(1.0,0.6755359128779206)
(1.0,0.7319444234028782)
(1.0,0.7343942373819923)
(1.0,0.742902044335492)
(1.0,0.7478461683421964)
(1.0,0.7469352819240576)
(1.0,0.7472458468794708)
(1.0,0.7447550178408084)
(1.0,0.7508546284260307)
(1.0,0.7480515937785008)
(1.0,0.7495466913312456)
(1.0,0.7271208183402228)
(1.0,0.7371009392097768)
(1.0,0.7411434808383517)
(1.0,0.7496716886336465)
(1.0,0.7526518226606549)
(1.0,0.7501651580187152)
(1.0,0.7455659010525347)
(1.0,0.74666075494857)
(1.0,0.6954507409771152)
(1.0,0.6280956104911204)
(1.0,0.6016199804503628)
(1.0,0.6190256918056283)
(1.0,0.6928011340043614)
(1.0,0.7533171975916724)
(1.0,0.7525631937963255)
(1.0,0.7562973316186808)
(1.0,0.7541303235587533)
(1.0,0.7495240350691709)
(1.0,0.7506179071734203)
